date,platform,locale,campaign_type,media_source,ad_show_id_final,ad_show_title_final,ad_show_language_final,genre,sub_team,total_cost_dollars,refresh_date
2/13/2026,android,USA,Scaling,Google,a2fa57d4cb8267b2645f2b588c39951fbf65093a,My Vampire System,english,Fantasy,Growth,2851.13470153025,3/5/2026
3/4/2026,ios,USA,Scaling,Google,Others,Others,english,,Growth,826.441083196635,3/5/2026
2/19/2026,android,USA,Testing,Tik Tok,cbc35fa13bbe154873ec97f78f2b4cf4b66c7d31,The Alpha's Bride,english,Romantasy,Growth,62.8704814872461,3/5/2026
2/1/2026,android,USA,Testing,Facebook,688d96ce7b1d3c3b46791bf30ea30c0a5e0787de,Heir in Hiding,english,Drama/Romance,Growth,207.15356994165,3/5/2026
2/5/2026,android,USA,Scaling,Google,bb2e5a5d07f1a91073fc44ee882bb2040c03aef1,The Godfather's Son,english,Drama/Romance,Growth,2345.39111570517,3/5/2026
2/17/2026,android,USA,Testing,Facebook,cd532605283eb73524e7a93c4f887f670a980c19,The Duke's Masked Bride,english,Drama/Romance,Affiliates,167.96377764731,3/5/2026
2/17/2026,android,USA,Testing,Tik Tok,cbc35fa13bbe154873ec97f78f2b4cf4b66c7d31,The Alpha's Bride,english,Romantasy,Growth,124.802325212935,3/5/2026
2/14/2026,android,USA,Scaling,Tik Tok,cbc35fa13bbe154873ec97f78f2b4cf4b66c7d31,The Alpha's Bride,english,Romantasy,Growth,992.651437082767,3/5/2026
2/23/2026,android,USA,Testing,Tik Tok,Others,Others,,,Growth,11.6226178733934,3/5/2026
2/22/2026,android,USA,Scaling,Tik Tok,cbc35fa13bbe154873ec97f78f2b4cf4b66c7d31,The Alpha's Bride,english,Romantasy,Growth,1003.50508280116,3/5/2026
2/25/2026,android,USA,Testing,Tik Tok,Others,Others,,,Growth,4.69262344993828,3/5/2026
2/20/2026,android,USA,Testing,Tik Tok,cbc35fa13bbe154873ec97f78f2b4cf4b66c7d31,The Alpha's Bride,english,Romantasy,Growth,7.4111521507973,3/5/2026
2/8/2026,android,USA,Scaling,Google,a2fa57d4cb8267b2645f2b588c39951fbf65093a,My Vampire System,english,Fantasy,Growth,1693.7253882056,3/5/2026
3/3/2026,android,USA,Scaling,Google,a2fa57d4cb8267b2645f2b588c39951fbf65093a,My Vampire System,english,Fantasy,Growth,7578.8927653903,3/5/2026
2/27/2026,android,USA,Scaling,Google,a2fa57d4cb8267b2645f2b588c39951fbf65093a,My Vampire System,english,Fantasy,Growth,3505.33537598856,3/5/2026
